MATCH_ID,TIME,JOGADOR,AF_VALOR
2026-02-06|BAHIA|FLUMINENSE,BAHIA,LUCIANO JUBA,1.0
2026-02-06|SANTOS|SÃO PAULO,SANTOS,BARREAL,1.0
2026-02-06|PALMEIRAS|VITÓRIA,PALMEIRAS,ANDREAS PEREIRA,2.0
2026-02-06|REMO|MIRASSOL,REMO,ALEF MANGA,1.0
2026-02-06|CRUZEIRO|CORITIBA,CRUZEIRO,KAIKI BRUNO,2.0
2026-02-06|REMO|MIRASSOL,MIRASSOL,REINALDO,1.0
2026-02-06|FLAMENGO|INTERNACIONAL,INTERNACIONAL,BERNABÉI,1.0
2026-02-06|FLAMENGO|INTERNACIONAL,INTERNACIONAL,ALAN PATRICK,1.0
2026-02-06|REMO|MIRASSOL,MIRASSOL,WILLIAN MACHADO,1.0
2026-02-06|REMO|MIRASSOL,REMO,JOÃO PEDRO,2.0
2026-02-06|VASCO|CHAPECOENSE,CHAPECOENSE,WALTER CLAR,1.0
2026-02-06|VASCO|CHAPECOENSE,CHAPECOENSE,JEAN CARLOS,1.0
2026-02-06|CRUZEIRO|CORITIBA,CORITIBA,BRENO LOPES,2.0
2026-02-06|VASCO|CHAPECOENSE,CHAPECOENSE,EVERTON,1.0
2026-02-06|VASCO|CHAPECOENSE,CHAPECOENSE,ÍTALO,1.0
2026-02-06|PALMEIRAS|VITÓRIA,VITÓRIA,GABRIEL,1.0
2026-02-06|RED BULL BRAGANTINO|ATLÉTICO-MG,ATLÉTICO-MG,VICTOR HUGO,1.0
2026-02-06|REMO|MIRASSOL,MIRASSOL,IGOR FORMIGA,1.0
2026-02-06|BAHIA|FLUMINENSE,BAHIA,ADEMIR,1.0
2026-02-06|RED BULL BRAGANTINO|ATLÉTICO-MG,ATLÉTICO-MG,EVERSON,1.0
2026-02-06|GRÊMIO|BOTAFOGO,BOTAFOGO,ALEXANDER BARBOZA,1.0
2026-02-06|BAHIA|FLUMINENSE,BAHIA,WILLIAN JOSÉ,3.0
2026-02-06|FLAMENGO|INTERNACIONAL,FLAMENGO,ALEX SANDRO,1.0
2026-02-06|VASCO|CHAPECOENSE,VASCO,PHILIPPE COUTINHO,4.0
2026-02-06|BAHIA|FLUMINENSE,BAHIA,GILBERTO,1.0
2026-02-06|REMO|MIRASSOL,REMO,ZÉ RICARDO,1.0
2026-02-06|CRUZEIRO|CORITIBA,CRUZEIRO,FABRÍCIO BRUNO,1.0
2026-02-06|REMO|MIRASSOL,REMO,YAGO PIKACHU,1.0
2026-02-06|BAHIA|FLUMINENSE,BAHIA,DAVID DUARTE,2.0
2026-02-06|BAHIA|FLUMINENSE,BAHIA,JEAN LUCAS,1.0
2026-02-06|GRÊMIO|BOTAFOGO,BOTAFOGO,ARTHUR CABRAL,2.0
2026-02-06|VASCO|CHAPECOENSE,VASCO,BRENNER,1.0
2026-02-06|REMO|MIRASSOL,REMO,DIEGO HERNÁNDEZ,1.0
2026-02-06|REMO|MIRASSOL,REMO,VITOR BUENO,1.0
2026-02-06|CRUZEIRO|CORITIBA,CORITIBA,KENO,1.0
2026-02-06|SANTOS|SÃO PAULO,SÃO PAULO,LUAN VINÍCIUS,1.0
2026-02-06|RED BULL BRAGANTINO|ATLÉTICO-MG,ATLÉTICO-MG,PRECIADO,1.0
2026-02-06|VASCO|CHAPECOENSE,CHAPECOENSE,RUBENS,1.0
2026-02-06|VASCO|CHAPECOENSE,CHAPECOENSE,DAVID,1.0
2026-02-06|FLAMENGO|INTERNACIONAL,FLAMENGO,DE LA CRUZ,1.0
2026-02-06|RED BULL BRAGANTINO|ATLÉTICO-MG,RED BULL BRAGANTINO,FABINHO,1.0
2026-02-06|RED BULL BRAGANTINO|ATLÉTICO-MG,RED BULL BRAGANTINO,ISIDRO PITTA,1.0
2026-02-17|FLUMINENSE|BOTAFOGO,BOTAFOGO,SANTI RODRÍGUEZ,3.0
